None,None
"Please make sure to select all the necessary product configurations before adding to cart.", "Assure-toi de selectionner toutes les configurations nécessaires du produit avant de l'ajouter au panier."
"To configure the next Boxer, please complete the previous Boxer configuration.", "Pour configurer le prochain boxer, finis la configuration du boxer précédent."
"To configure the next chair section, please complete the configuration of the previous chair section.", "Pour configurer la prochaine section de chaise, ferme la configuration de la section de chaise précédente."
"No options of this product are available.","Aucune option n'est disponible pour ce produit."
"SHOP ALL PRODUCTS","ACHETER TOUS LES PRODUITS"
"We can't find products matching the selection.","Nous n'avons pas trouvé de produits correspondant à la sélection."
"Out Of Stock","En rupture de stock"
"Instead of","Au lieu de"
"Instead of:","Au lieu de :"
"Related Products","Produits apparentés"
"We found other products you might like!","Nous avons trouvé d'autres produits qui pourraient te plaire !"
"More Choices:","Plus de choix :"
"You Might Also Like","You Might Also Like"
"New Products","Nouveaux produits"
"Add to cart","Ajouter au panier"
"Check items to add to the cart or","Vérifie les articles à ajouter au panier ou"
"Select all","Select all"
"Add to Cart","Ajouter au panier"
Qty,Quantité
Optional,Options
"Not Available","Non disponible"
"Included in Product Set","Inclus dans le set de produit"
"1 Boxer","1 boxer"
"2 Boxers","2 boxer"
"3 Boxers","3 boxer"
"4 Boxers","4 boxer"
"Total value","Valeur totale"
"CARESHOP PRICE","CARESHOP PRICE"
"Show More","MONTRER PLUS"
"Show Less","MONTRER MOINS"
"per piece","per piece"
Boxers,Boxer
"You save","Tu économises"
"You save:","Tu économises :"
"Size Chart","Tableau des tailles"
Next,Suivant
Prev,Précédent
"Shopping Cart Items","Articles du panier"
Item,Article
Price,Prix
Subtotal,Sous-total
"Continue Shopping","Continuer les achats"
"Clear Shopping Cart","Vider le panier"
"Update Shopping Cart","Mettre à jour le panier"
"See price before order confirmation.","Voir le prix avant la confirmation de la commande."
"What's this?","Qu'est-ce que c'est ?"
"Your Cart","Ton panier"
"Proceed to Checkout","Passer en caisse"
"Account Information","Informations sur le compte"
"Contact Information","Informations de contact"
Title:,Titre :
Mr,M.
Ms,Mme
Mrs,Mme
Name:,Nom:
Email:,E-Mail:
"Date of Birth:","Date de naissance :"
"Phone Number:","Numéro de téléphone :"
Language:,Langue :
Edit,Modifier
"Change Password","Modifier le mot de passe"
Newsletter,Newsletter
"You are subscribed to ""General Subscription"".","Tu es abonné(e) à ""l'abonnement général""."
"You aren't subscribed to our newsletter.","Tu n'es pas abonné à notre bulletin d'information."
"I want to receive your Newsletter.","Oui, je souhaite recevoir la newsletter avec des offres exclusives, des histoires originales et/ou des événements."
"Unsubscribing from our newsletter will remove you from our mailing list, and you will no longer receive any updates or promotions from us.","Le désabonnement de notre newsletter te retirera de notre liste de diffusion, et tu ne recevras plus aucune mise à jour ou promotion de notre part."
"Are you sure you want to unsubscribe?","Es-tu sûr(e) de vouloir te désabonner ?"
"* Required Fields","Champs obligatoires"
Address,Adresse
"Street Address %1","Adresse de rue %1"
City,Ville
"Please select a region, state or province.","Please select a region, state or province."
"It's a default billing address.","C'est une adresse de facturation par défaut."
"Use as my default billing address","Utiliser comme mon adresse de facturation par défaut"
"It's a default shipping address.","C'est une adresse de livraison par défaut."
"Use as my default shipping address","Utiliser comme mon adresse de livraison par défaut"
"Save Address","Enregistrer l'adresse"
"Go back","Retourner"
Addresses,Adresses
"Additional addresses","Adresses supplémentaires"
"Address Full","Adresse complète"
Actions,Actions
"You have no other address entries in your address book.","Tu n'as pas d'autres entrées d'adresse dans ton carnet d'adresses."
"New Address","Nouvelle adresse"
"Change Email","Modifier l'e-mail"
"Change Email and Password","Modifier l'e-mail et le mot de passe"
Email,E-Mail
"Current Password","Mot de passe actuel"
"New Password","Nouveau mot de passe"
"Password Strength","Force du mot de passe"
"No Password","Aucun mot de passe"
"Confirm New Password","Confirmer le nouveau mot de passe"
Cancel,Annuler
Save,Enregistrer
"After confirmation, an email for the change will be sent. Please click the link when you get it.","Après la confirmation, tu recevras un lien par e-mail. Clique dessus pour confirmer les modifications."
"Are you sure you want to change email?","Es-tu sûr de vouloir changer ton adresse e-mail ?"
"Reset Password","Réinitialiser le mot de passe"
"Don't worry, it happens to the best of us.","Ne t'inquiète pas, cela arrive aux meilleurs d'entre nous."
"Enter your email address and we'll send you a link to reset your password.","Saisis ton adresse e-mail et nous t'enverrons un lien pour réinitialiser ton mot de passe."
"Send Email","Envoyer un e-mail"
"Return to","Retour à"
"Sign In","l'inscription"
Password,Mot de passe
Login,Login
"Don't have an account yet? Sign Up","Tu n'as pas encore de compte ? Inscris-toi ici"
here,here
"Forgot Your Password?","Tu as oublié ton mot de passe ?"
"Sign Up","S'inscrire"
"Address Information","Informations sur l'adresse"
"Confirm Password","Confirmer le mot de passe"
"By creating an account, you accept %1Terms & Conditions%2 and acknowledge our %3Data Protection (Privacy)%4","En créant un compte, tu acceptes %1les conditions générales%2 et reconnais %3notre protection de confidentialité%4."
"Terms & Conditions","Terms & Conditions"
"and acknowledge our","and acknowledge our"
"Data Protection (Privacy)","Data Protection (Privacy)"
"Already have an account? Sign in","Tu as déjà un compte ? S'identifier "
Confirm,Confirmer
